mode: set
pvz/internal/db/db.go:12.39,17.16 4 0
pvz/internal/db/db.go:17.16,19.3 1 0
pvz/internal/db/db.go:21.2,22.16 2 0
pvz/internal/db/db.go:22.16,24.3 1 0
pvz/internal/db/db.go:25.2,27.13 2 0
pvz/internal/config/config.go:20.27,22.16 2 0
pvz/internal/config/config.go:22.16,24.3 1 0
pvz/internal/config/config.go:24.8,26.3 1 0
pvz/internal/config/config.go:27.2,34.3 1 0
pvz/internal/config/config.go:37.33,46.2 1 0
pvz/cmd/main.go:13.13,32.2 9 0
pvz/internal/handler/mocks/mocks_pvz.go:16.91,19.2 2 0
pvz/internal/handler/mocks/mocks_reception.go:15.136,18.2 2 0
pvz/internal/handler/mocks/mocks_user.go:14.96,17.2 2 0
pvz/internal/handler/mocks/mocks_user.go:19.88,22.2 2 0
pvz/internal/handler/mocks/mocks_user.go:24.91,27.2 2 0
pvz/internal/mapper/pvz.go:8.64,12.2 1 0
pvz/internal/mapper/pvz.go:14.66,20.2 1 0
pvz/internal/mapper/reception.go:11.67,13.16 2 0
pvz/internal/mapper/reception.go:13.16,16.3 2 0
pvz/internal/mapper/reception.go:17.2,19.3 1 0
pvz/internal/mapper/reception.go:22.76,29.2 1 0
pvz/internal/mapper/reception.go:31.59,33.16 2 0
pvz/internal/mapper/reception.go:33.16,36.3 2 0
pvz/internal/mapper/reception.go:37.2,39.3 1 0
pvz/internal/mapper/user.go:8.87,14.2 1 0
pvz/internal/mapper/user.go:16.67,22.2 1 0
pvz/internal/mapper/user.go:24.72,29.2 1 0
pvz/internal/middleware/logs/logger.go:11.33,27.2 4 0
pvz/internal/handler/router/router.go:14.69,43.2 19 0
pvz/internal/middleware/auth/hash_password.go:10.60,12.16 2 0
pvz/internal/middleware/auth/hash_password.go:12.16,15.3 2 0
pvz/internal/middleware/auth/hash_password.go:17.2,17.28 1 0
pvz/internal/middleware/auth/hash_password.go:20.52,22.2 1 0
pvz/internal/middleware/auth/jwt.go:13.47,22.2 4 0
pvz/internal/middleware/auth/jwt.go:24.51,25.30 1 0
pvz/internal/middleware/auth/jwt.go:25.30,27.14 2 0
pvz/internal/middleware/auth/jwt.go:27.14,30.4 2 0
pvz/internal/middleware/auth/jwt.go:32.3,34.34 3 0
pvz/internal/middleware/auth/jwt.go:34.34,37.4 2 0
pvz/internal/middleware/auth/jwt.go:39.3,39.11 1 0
pvz/internal/middleware/auth/jwt.go:43.36,44.30 1 0
pvz/internal/middleware/auth/jwt.go:44.30,46.23 2 0
pvz/internal/middleware/auth/jwt.go:46.23,49.4 2 0
pvz/internal/middleware/auth/jwt.go:51.3,55.77 3 0
pvz/internal/middleware/auth/jwt.go:55.77,57.4 1 0
pvz/internal/middleware/auth/jwt.go:58.3,58.33 1 0
pvz/internal/middleware/auth/jwt.go:58.33,61.4 2 0
pvz/internal/middleware/auth/jwt.go:63.3,64.10 2 0
pvz/internal/middleware/auth/jwt.go:64.10,67.4 2 0
pvz/internal/middleware/auth/jwt.go:69.3,70.11 2 0
pvz/internal/middleware/validations/validators.go:10.38,14.2 2 0
pvz/internal/middleware/validations/validators.go:16.36,17.47 1 0
pvz/internal/middleware/validations/validators.go:17.47,19.3 1 0
pvz/internal/middleware/validations/validators.go:19.8,21.3 1 0
pvz/internal/middleware/validations/validators.go:24.37,25.16 1 0
pvz/internal/middleware/validations/validators.go:25.16,27.3 1 0
pvz/internal/middleware/validations/validators.go:28.2,31.31 3 0
pvz/internal/middleware/validations/validators.go:34.36,35.97 1 0
pvz/internal/middleware/validations/validators.go:35.97,37.3 1 0
pvz/internal/middleware/validations/validators.go:37.8,39.3 1 0
pvz/internal/middleware/validations/validators.go:42.35,43.40 1 0
pvz/internal/middleware/validations/validators.go:43.40,45.3 1 0
pvz/internal/middleware/validations/validators.go:45.8,47.3 1 0
pvz/internal/handler/pvz.go:24.68,26.2 1 0
pvz/internal/handler/pvz.go:28.54,33.46 4 0
pvz/internal/handler/pvz.go:33.46,37.3 3 0
pvz/internal/handler/pvz.go:40.2,40.40 1 0
pvz/internal/handler/pvz.go:40.40,44.3 3 0
pvz/internal/handler/pvz.go:46.2,48.16 3 0
pvz/internal/handler/pvz.go:48.16,51.3 2 0
pvz/internal/handler/pvz.go:53.2,56.34 3 0
pvz/internal/handler/reception.go:23.85,25.2 1 1
pvz/internal/handler/reception.go:27.66,31.47 3 1
pvz/internal/handler/reception.go:31.47,35.3 3 0
pvz/internal/handler/reception.go:37.2,41.16 4 1
pvz/internal/handler/reception.go:41.16,44.3 2 0
pvz/internal/handler/reception.go:46.2,47.34 2 1
pvz/internal/handler/user.go:27.71,29.2 1 1
pvz/internal/handler/user.go:31.51,33.47 2 1
pvz/internal/handler/user.go:33.47,37.3 3 0
pvz/internal/handler/user.go:40.2,40.42 1 1
pvz/internal/handler/user.go:40.42,44.3 3 1
pvz/internal/handler/user.go:47.2,47.27 1 1
pvz/internal/handler/user.go:47.27,51.3 3 1
pvz/internal/handler/user.go:54.2,57.16 3 1
pvz/internal/handler/user.go:57.16,61.3 3 1
pvz/internal/handler/user.go:63.2,64.41 2 1
pvz/internal/handler/user.go:68.51,71.47 2 1
pvz/internal/handler/user.go:71.47,75.3 3 0
pvz/internal/handler/user.go:78.2,78.40 1 1
pvz/internal/handler/user.go:78.40,82.3 3 1
pvz/internal/handler/user.go:84.2,85.16 2 1
pvz/internal/handler/user.go:85.16,89.3 3 1
pvz/internal/handler/user.go:91.2,92.41 2 1
pvz/internal/handler/user.go:95.54,99.47 3 1
pvz/internal/handler/user.go:99.47,103.3 3 0
pvz/internal/handler/user.go:106.2,106.42 1 1
pvz/internal/handler/user.go:106.42,110.3 3 1
pvz/internal/handler/user.go:113.2,113.40 1 1
pvz/internal/handler/user.go:113.40,117.3 3 1
pvz/internal/handler/user.go:120.2,120.48 1 1
pvz/internal/handler/user.go:120.48,124.3 3 1
pvz/internal/handler/user.go:126.2,127.16 2 1
pvz/internal/handler/user.go:127.16,131.3 3 0
pvz/internal/handler/user.go:134.2,136.16 3 1
pvz/internal/handler/user.go:136.16,140.3 3 1
pvz/internal/handler/user.go:142.2,145.34 3 1
pvz/internal/handler/mocks/mocks_pvz.go:16.91,19.2 2 0
pvz/internal/handler/mocks/mocks_reception.go:15.136,18.2 2 1
pvz/internal/handler/mocks/mocks_user.go:14.96,17.2 2 1
pvz/internal/handler/mocks/mocks_user.go:19.88,22.2 2 1
pvz/internal/handler/mocks/mocks_user.go:24.91,27.2 2 1
pvz/internal/mapper/pvz.go:8.64,12.2 1 0
pvz/internal/mapper/pvz.go:14.66,20.2 1 0
pvz/internal/mapper/reception.go:11.67,13.16 2 1
pvz/internal/mapper/reception.go:13.16,16.3 2 0
pvz/internal/mapper/reception.go:17.2,19.3 1 1
pvz/internal/mapper/reception.go:22.76,29.2 1 1
pvz/internal/mapper/reception.go:31.59,33.16 2 1
pvz/internal/mapper/reception.go:33.16,36.3 2 0
pvz/internal/mapper/reception.go:37.2,39.3 1 1
pvz/internal/mapper/user.go:8.87,14.2 1 1
pvz/internal/mapper/user.go:16.67,22.2 1 1
pvz/internal/mapper/user.go:24.72,29.2 1 1
pvz/internal/middleware/auth/hash_password.go:10.60,12.16 2 1
pvz/internal/middleware/auth/hash_password.go:12.16,15.3 2 0
pvz/internal/middleware/auth/hash_password.go:17.2,17.28 1 1
pvz/internal/middleware/auth/hash_password.go:20.52,22.2 1 0
pvz/internal/middleware/auth/jwt.go:13.47,22.2 4 0
pvz/internal/middleware/auth/jwt.go:24.51,25.30 1 0
pvz/internal/middleware/auth/jwt.go:25.30,27.14 2 0
pvz/internal/middleware/auth/jwt.go:27.14,30.4 2 0
pvz/internal/middleware/auth/jwt.go:32.3,34.34 3 0
pvz/internal/middleware/auth/jwt.go:34.34,37.4 2 0
pvz/internal/middleware/auth/jwt.go:39.3,39.11 1 0
pvz/internal/middleware/auth/jwt.go:43.36,44.30 1 0
pvz/internal/middleware/auth/jwt.go:44.30,46.23 2 0
pvz/internal/middleware/auth/jwt.go:46.23,49.4 2 0
pvz/internal/middleware/auth/jwt.go:51.3,55.77 3 0
pvz/internal/middleware/auth/jwt.go:55.77,57.4 1 0
pvz/internal/middleware/auth/jwt.go:58.3,58.33 1 0
pvz/internal/middleware/auth/jwt.go:58.33,61.4 2 0
pvz/internal/middleware/auth/jwt.go:63.3,64.10 2 0
pvz/internal/middleware/auth/jwt.go:64.10,67.4 2 0
pvz/internal/middleware/auth/jwt.go:69.3,70.11 2 0
pvz/internal/middleware/validations/validators.go:10.38,14.2 2 1
pvz/internal/middleware/validations/validators.go:16.36,17.47 1 1
pvz/internal/middleware/validations/validators.go:17.47,19.3 1 1
pvz/internal/middleware/validations/validators.go:19.8,21.3 1 1
pvz/internal/middleware/validations/validators.go:24.37,25.16 1 1
pvz/internal/middleware/validations/validators.go:25.16,27.3 1 1
pvz/internal/middleware/validations/validators.go:28.2,31.31 3 1
